role;idPer;idObra;
actor;11108;44;
actor;11108;45;
actor;11108;4619;
actor;11108;4639;
actor;11108;46;
actor;11108;47;
actor;11108;4862;
actor;11108;4891;
actor;11108;48;
actor;11108;4922;
actor;11108;49;
actor;11108;5178;
actor;11108;5264;
actor;11108;5266;
actor;11108;5377;
actor;11108;54;
actor;11108;5561;
actor;11108;5627;
actor;11108;5628;
actor;11108;601;
actor;11108;708;
actor;11108;761;
actor;11108;828;
actor;11108;898;
actor;1110;1820;
actor;11111;5141;
actor;11113;2333;
actor;11113;4308;
actor;11113;5217;
actor;11113;842;
actor;11116;840;
actor;11117;3464;
actor;11119;3383;
actor;1111;3396;
actor;11122;3974;
actor;11123;1121;
actor;11123;1421;
actor;11123;1526;
actor;11123;1527;
actor;11123;1569;
actor;11123;1619;
actor;11123;1818;
actor;11123;1876;
actor;11123;262;
actor;11123;26;
actor;11123;2790;
actor;11123;295;
actor;11123;3037;
actor;11123;3549;
actor;11123;3554;
actor;11123;3556;
actor;11123;3571;
actor;11123;3590;
actor;11123;4255;
actor;11123;4366;
actor;11123;4576;
actor;11123;5198;
actor;11123;5552;
actor;11123;5649;
actor;11123;784;
actor;11124;4663;
actor;11126;1564;
actor;11128;1564;
actor;1112;2718;
actor;1112;4555;
actor;1112;573;
actor;11131;2755;
actor;11134;638;
actor;11134;798;
actor;11135;1450;
actor;11136;4203;
actor;11137;781;
actor;11138;5037;
actor;1113;1854;
actor;11147;1312;
actor;11148;1019;
actor;11153;1492;
actor;11154;2646;
actor;11154;3633;
actor;11155;2811;
actor;11155;4324;
actor;11158;4159;
actor;11159;4118;
actor;11160;5579;
actor;11161;1509;
actor;11161;403;
actor;11162;735;
actor;11167;2860;
actor;11167;5124;
actor;11167;5414;
actor;11167;5526;
actor;11169;1506;
actor;1116;1337;
